"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"2204",0.084,0.031,0.617,0.253,0.298,0.489,0.142,0.324,0.034,0.052,0.032,0.137,0.215,0.437,0.1,0,0.201,0.111,0,0.317,0.07,0.067,0.013,0.005,0.014,0.001,0.008,0.054,0.028,0.005,0.002,0.053,0.003,0,0.005,0,0,0,0,0,0.001
"2205",0.613,0.365,0.958,0.149,0.964,0.406,0.9,0.686,0.033,0.134,0.266,0.203,0.053,0.006,0.003,0.512,0,0.004,0,0.003,0.002,0.084,0.004,0,0.102,0.001,0.002,0.029,0.007,0.002,0,0.002,0.001,0,0,0,0,0,0.007,0,0
"2206",0.116,0.226,0.78,0.25,0.541,0.302,0.91,0.208,0.151,0.027,0.209,0.019,0.916,0.519,0,0,0.892,0.948,0.021,0,0.142,0.04,0.003,0,0.08,0,0,0.005,0.008,0.003,0.008,0.001,0.007,0,0,0.002,0,0,0,0.01,0
"2207",0.011,0.196,0.973,0.717,0.958,0.77,0.173,0.464,0.665,0.153,0.004,0.744,0.005,0.067,0.057,0.023,0.002,0.437,0.037,0,0.01,0.062,0.035,0.013,0.006,0,0.014,0.014,0.002,0,0.011,0,0,0,0,0,0,0,0,0,0.001
"2208",0.229,0.007,0.717,0.271,0.324,0.069,0.991,0.307,0.041,0.034,0.269,0.028,0.148,0.233,0.003,0.013,0.063,0,0.046,0.018,0.026,0,0.001,0,0,0.001,0.006,0.001,0.003,0.001,0.03,0,0.002,0,0,0.009,0.003,0.005,0.001,0,0.006
"2209",0.15,0.598,0.362,0.175,0.753,0.121,0.026,0.617,0.833,0.319,0.186,0.852,0.291,0.099,0.192,0,0.024,0.004,0,0,0.048,0.007,0,0,0.001,0.016,0,0.069,0.003,0.01,0.006,0,0.001,0.002,0.001,0,0,0,0.008,0.001,0.001
"2210",0.261,0.612,0.521,0.707,0.866,0.83,0.012,0.285,0.153,0,0.204,0.573,0.261,0.788,0.096,0.454,0.082,0.035,0.018,0.01,0.033,0.011,0.04,0,0.017,0.033,0,0,0,0,0.022,0,0,0.01,0.008,0.009,0,0,0,0,0
"2211",0.173,0.523,0.41,0.259,0.841,0.189,0.019,0.071,0.988,0.829,0.081,0.065,0.034,0.853,0.046,0.006,0.049,0,0.003,0,0,0.001,0.061,0.171,0,0.003,0.014,0,0,0.002,0.019,0,0.002,0.022,0,0.007,0,0.002,0.018,0.001,0
"2212",0.732,0.441,0.377,0.383,0.853,0.884,0.832,0.735,0.365,0.071,0.295,0.169,0.003,0.673,0.005,0.145,0.001,0.036,0.028,0,0.003,0.016,0,0.012,0.006,0.081,0,0,0.003,0.006,0,0.012,0.005,0.005,0.014,0,0.001,0,0.059,0,0.02
"2213",0.919,0.915,0.518,0.168,0.684,0.827,0.304,0.841,0.028,0.03,0.428,0.203,0.709,0.662,0.003,0.077,0.197,0.063,0.057,0.008,0.197,0,0,0.001,0,0.011,0.005,0.014,0.001,0.015,0.003,0.007,0.083,0.008,0,0.011,0,0,0,0,0
