"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"1212",0.88,0.181,0.858,0.112,0.812,0.05,0.437,0.383,0.06,0.123,0.017,0.009,0.001,0.002,0.134,0.006,0.001,0,0,0.007,0,0.009,0.001,0.072,0.065,0,0,0,0,0.016,0,0.001,0,0.001,0,0,0,0,0.045,0.029,0.01
"1213",1,0.525,0.595,0.954,0.473,0.027,0.519,0.005,0.795,0.381,0.241,0.754,0.674,0.142,0.037,0.058,0.007,0.162,0,0,0.008,0,0.148,0.004,0.004,0,0,0,0.019,0.005,0.019,0.003,0,0.001,0.001,0.001,0,0,0,0,0
"1214",0.868,0.556,0.038,0.405,0.386,0.432,0.005,0.215,0.33,0,0.144,0.551,0.001,0.021,0.265,0.117,0.02,0,0.004,0.036,0.002,0.035,0.029,0.089,0,0.032,0.006,0,0.024,0.002,0,0,0.001,0,0,0.008,0.002,0.003,0,0,0.002
"1215",0.884,0.617,0.077,0.489,0.594,0.124,0.958,0,0.123,0.043,0.131,0.002,0.085,0,0.203,0.012,0.078,0.002,0.854,0.02,0.025,0,0,0.05,0.202,0,0.003,0,0,0.031,0.002,0.001,0.003,0.001,0,0,0.013,0.035,0.062,0.004,0.022
"1216",0.523,0.987,0.732,0.05,0.139,0.252,0.983,0.029,0.768,0.075,0.237,0.002,0.386,0.019,0.01,0.062,0,0.001,0.008,0,0.12,0.022,0.005,0.005,0.024,0.001,0.003,0.001,0,0.011,0,0.002,0.002,0,0.002,0,0,0.011,0.001,0,0
"1217",0.33,0.832,0.699,0.804,0.04,0.132,0.252,0.989,0.912,0.569,0.303,0.974,0.083,0.06,0,0.108,0.071,0.003,0.002,0.023,0.103,0.074,0.035,0,0.001,0.001,0.006,0.003,0.013,0.001,0.011,0.008,0.006,0,0,0,0,0,0,0.002,0.006
"1218",0.43,0.362,0.291,0.096,0.269,0.034,0.967,0.042,0.1,0.737,0.007,0,0.003,0.093,0.035,0.015,0,0.001,0.006,0.012,0.01,0.004,0.003,0.002,0,0,0.002,0,0,0,0,0.086,0.005,0.01,0.001,0,0.027,0.001,0.007,0.011,0
"1219",0.212,0.987,0.331,0.009,0.976,0.606,0.193,0.14,0.269,0.023,0.062,0.724,0.183,0.054,0.041,0.003,0.002,0.002,0.048,0.014,0,0.043,0.081,0.001,0.005,0.027,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0
"1220",0.675,0.793,0.33,0.741,0.235,0.55,0.726,0.043,0.839,0.075,0.004,0.765,0.279,0,0.479,0.003,0.014,0.034,0.014,0.001,0.001,0.017,0,0,0,0.023,0.017,0,0,0.003,0.013,0,0,0.005,0.002,0,0,0,0,0,0
"1221",0.33,0.428,0.677,0.919,0.995,0.786,0.982,0.835,0.107,0.044,0.445,0.116,0.331,0.006,0.08,0.039,0,0.057,0.014,0.004,0.061,0.005,0.023,0,0,0.016,0.004,0.017,0,0.094,0,0.005,0.011,0,0,0.004,0.001,0,0.002,0,0.001
"1222",0.444,0.6,0.606,0.045,0.37,0.989,0.191,0.561,0.044,0.09,0.481,0.367,0.07,0.097,0.025,0.898,0.333,0.015,0.65,0,0.002,0.021,0.002,0,0,0,0.013,0,0,0.001,0.001,0,0,0,0.026,0,0.002,0,0,0,0
"1223",0.659,0.609,0.792,0.887,0.948,0.167,0.118,0.033,0.405,0.084,0.73,0.013,0.045,0.003,0.089,0.037,0.04,0,0.027,0.023,0.005,0.01,0.001,0.001,0.152,0,0.008,0,0.064,0,0.008,0.01,0,0.003,0.002,0.005,0.013,0,0.002,0,0
"1224",0.927,0.597,0.212,0.845,0.148,0.894,0.186,0.14,0.08,0.503,0.461,0.309,0,0.003,0.008,0.071,0.098,0.006,0.388,0.12,0.026,0,0.018,0.02,0.012,0,0,0,0.001,0.178,0,0,0.002,0.031,0,0.01,0,0,0,0.001,0
"1225",0.192,0.877,0.184,0,0.851,0.811,0.129,0.295,0.001,0.047,0.1,0.005,0.593,0.442,0.064,0.046,0.008,0.005,0.012,0.01,0.002,0,0,0.001,0.001,0.066,0.003,0.022,0.005,0,0.031,0,0,0.016,0.004,0.012,0,0,0,0.013,0
"1226",0.072,0.558,0.683,0.11,0.479,0.521,0.662,0.094,0.005,0.656,0.456,0.039,0.009,0.028,0,0.08,0.257,0.001,0,0,0.061,0,0.002,0.012,0.009,0,0.071,0.002,0.011,0.007,0.001,0,0,0.002,0.005,0.003,0.01,0.001,0,0,0
"1227",0.092,0.699,0.875,0.745,0.288,0.004,0.013,0.033,0.703,0.781,0,0.697,0.114,0.301,0,0.007,0.002,0.043,0.003,0.093,0,0,0,0,0,0.027,0.003,0.002,0.001,0.086,0.137,0.012,0,0,0.003,0,0,0,0,0.015,0
"1228",0.382,0.864,0.484,0.59,0.445,0.924,0.6,0.218,0.866,0.673,0.064,0.511,0.007,0.16,0.019,0.053,0,0.009,0.037,0.006,0.005,0.044,0,0.007,0,0,0.066,0.002,0,0.023,0,0.087,0.002,0,0,0,0,0.002,0.011,0,0
"1229",0.14,0.313,0.419,0.364,0.304,0.595,0.495,0.85,0.272,0.734,0.397,0.864,0.002,0,0.033,0.085,0.071,0.212,0.23,0.014,0.01,0.003,0.004,0.003,0.084,0.008,0,0,0.026,0,0.021,0.003,0,0.002,0,0.004,0,0,0,0,0
"1230",0.288,0.834,0.922,0.816,0.805,0.356,0.179,0.976,0.004,0.019,0.43,0.023,0.001,0,0.476,0.013,0,0.135,0,0,0.077,0.001,0,0.006,0.022,0.133,0,0.115,0,0.001,0.001,0,0,0,0.015,0,0.079,0,0.007,0.002,0.033
"1231",0.684,0.392,0.809,0.128,0.08,0.17,0.028,0.131,0.054,0.224,0.026,0.001,0.846,0.208,0.001,0,0.071,0.027,0,0.011,0.048,0.013,0.001,0.02,0,0.002,0,0.022,0.024,0,0,0,0,0,0.012,0,0.089,0,0.03,0.001,0.002
"1232",0.958,0.585,0.319,0.876,0.494,0.028,0.003,0.412,0.098,0.045,0.601,0.006,0.068,0.105,0.084,0.009,0.303,0.885,0.014,0.122,0,0.013,0.001,0.001,0.016,0,0,0,0.001,0,0,0,0,0,0,0.004,0,0.013,0,0,0.006
"1233",0.483,0.944,0.016,0.727,0.511,0.781,0.026,0.749,0.04,0.717,0.041,0.004,0.039,0.16,0.062,0.209,0,0,0.001,0.007,0.002,0.002,0,0,0.021,0.001,0.002,0.001,0.006,0,0,0.007,0.023,0.01,0,0.041,0.004,0.015,0,0.001,0.001
"1234",0.277,0.929,0.806,0.868,0.456,0.057,0.473,0.045,0.67,0.333,0.176,0.655,0.044,0.007,0.015,0.069,0.011,0.086,0.006,0,0,0,0.005,0,0.015,0.002,0,0.011,0,0,0.003,0,0,0,0.124,0,0,0.01,0,0.002,0
"1235",0.836,0.821,0.884,0.103,0.955,0.071,0.325,0.495,0.296,0.619,0.017,0.023,0.291,0.991,0.001,0,0.002,0.051,0.01,0,0.002,0.01,0,0,0.022,0.002,0.018,0.033,0.007,0.007,0.014,0.002,0,0,0.018,0,0,0.002,0.006,0,0.013
"1236",0.168,0.881,0.498,0.154,0.174,0.782,0.632,0.683,0.089,0.108,0.737,0.157,0.851,0.026,0.016,0.909,0.008,0,0.14,0.016,0.014,0.005,0.001,0.002,0.003,0.019,0,0.002,0,0.003,0,0,0,0,0,0.001,0,0,0,0,0
"1237",0.596,0.719,0.34,0.249,0.797,0.942,0.8,0.039,0.001,0.952,0.043,0.161,0.406,0.959,0.01,0,0.068,0.004,0.351,0.007,0.048,0.012,0.001,0.002,0.003,0,0,0.004,0,0,0,0,0,0.002,0,0.013,0.003,0.028,0,0.012,0
"1238",0.337,0.785,0.624,0.531,0.121,0.433,0.188,0.27,0.71,0.105,0.235,0.795,0.17,0.007,0.168,0.06,0,0,0.007,0.018,0.005,0,0,0,0.051,0,0,0.003,0.026,0.003,0,0,0.019,0.005,0.001,0,0,0,0.015,0.001,0.001
"1239",0.019,0.543,0.393,0.073,0.677,0.478,0.046,0.017,0.625,0.776,0.438,0.646,0.035,0.863,0.091,0.039,0.013,0.019,0.062,0.002,0,0.001,0.006,0.001,0,0,0.001,0,0.009,0,0,0,0.001,0,0,0.012,0.028,0.001,0,0,0.001
"1240",0.288,0.324,0.662,0.252,0.116,0.961,0.089,0.364,0.007,0.901,0.13,0.226,0.004,0.06,0.011,0.001,0.185,0.185,0,0.011,0.027,0.025,0.044,0,0.003,0,0,0,0.005,0,0.015,0,0,0,0.009,0.001,0,0.005,0,0,0
"1241",0.018,0.906,0.706,0.784,0.283,0.228,0.117,0.011,0.005,0.504,0.045,0.133,0.107,0.345,0.001,0.04,0,0.291,0.027,0,0.022,0.001,0,0,0,0.011,0,0.01,0,0.005,0.109,0.008,0,0.001,0,0.053,0,0,0,0,0
"1242",0.869,0.293,0.551,0.027,0.325,0.301,0.884,0.966,0.943,0.84,0.093,0.261,0.018,0.048,0.017,0.002,0.008,0.011,0.007,0.097,0.01,0.005,0.002,0.008,0,0.029,0,0.001,0,0.001,0,0.001,0,0,0,0.009,0,0,0,0.01,0.004
"1243",0.925,0.889,0.481,0.318,0.78,0.401,0.816,0.904,0.8,0.121,0.162,0.031,0.183,0.684,0.432,0.02,0,0.001,0,0.003,0,0.031,0.119,0,0,0.003,0,0.001,0,0,0.025,0,0.001,0.01,0,0.019,0.001,0.064,0,0,0
"1244",0.489,0.962,0.287,0.28,0.64,0.013,0.411,0.67,0.906,0.617,0.533,0.094,0.069,0.028,0.176,0.001,0.001,0.005,0.341,0.011,0.005,0,0.382,0.003,0.004,0.043,0,0.001,0.001,0,0.028,0.002,0,0.047,0,0,0.027,0.001,0.002,0,0.004
"1245",0.128,0.792,0.797,0.475,0.384,0.916,0.087,0.789,0.4,0.943,0.05,0.32,0.054,0.025,0,0.046,0.402,0.01,0,0.021,0.01,0.029,0.001,0,0.009,0,0,0,0.012,0.006,0.072,0.002,0,0.001,0.001,0,0.002,0,0,0.001,0.001
"1246",0.397,0.679,0.306,0.707,0.594,0.786,0.876,0.092,0.79,0.014,0.32,0.247,0.012,0.023,0.256,0.004,0.069,0,0.019,0.052,0.003,0.004,0,0.024,0,0.01,0.005,0.007,0.001,0.004,0,0,0.002,0.001,0,0.001,0,0.001,0,0.022,0
"1247",0.486,0.743,0.634,0,0.13,0.375,0.214,0.597,0.057,0.291,0.007,0.416,0.132,0.18,0.002,0,0.106,0.032,0,0.053,0.015,0,0.005,0,0.012,0,0.013,0,0,0.002,0,0,0.011,0,0,0,0.082,0.078,0.001,0,0.001
"1248",0.977,0.399,0.987,0.47,0.914,0.46,0.27,0.124,0.752,0.067,0.115,0.107,0.572,0.002,0.782,0.017,0.053,0.007,0.111,0.01,0.027,0.017,0.005,0.001,0,0.014,0.001,0.006,0.018,0,0.002,0.003,0.038,0,0,0.006,0,0,0.001,0.112,0.002
"1249",0.833,0.341,0.87,0.498,0.772,0.985,0.508,0.872,0.709,0.017,0.021,0.783,0.008,0.013,0.017,0.014,0.004,0.004,0.003,0.015,0.035,0,0.006,0.032,0,0,0.005,0,0,0.07,0,0,0.001,0.027,0,0,0,0.016,0,0.011,0.001
"1250",0.643,0.305,0.746,0.343,0.909,0.671,0.737,0.676,0.332,0.388,0.096,0.008,0.867,0.023,0.003,0.012,0,0.003,0,0,0.106,0.109,0,0,0.001,0.002,0.017,0,0.002,0.009,0.002,0,0.015,0,0,0,0,0.006,0.019,0,0.001
"1251",0.323,0.957,0.365,0.226,0.264,0.164,0.601,0.276,0.518,0.665,0.016,0.852,0.002,0.663,0.099,0.016,0.002,0.311,0.043,0.001,0.008,0,0.02,0.399,0.001,0.013,0,0,0.012,0.001,0,0.002,0.077,0.005,0.039,0,0,0.001,0,0.006,0.002
"1252",0.275,0.587,0.847,0.227,0.148,0.609,0.733,0.265,0.806,0.122,0.066,0.05,0.512,0.004,0.289,0.006,0,0.002,0.025,0.011,0,0,0.003,0.012,0.534,0.062,0,0.013,0.009,0,0.005,0,0,0,0.002,0,0.062,0.001,0,0.001,0
"1253",0.241,0.668,0.823,0.054,0.224,0.639,0.025,0.561,0.307,0.253,0.663,0.487,0.172,0.122,0.367,0.025,0.175,0.002,0.01,0.008,0.022,0,0.001,0.079,0.002,0.001,0,0,0,0,0,0.004,0.066,0,0.004,0,0.01,0.067,0,0.001,0.004
"1254",0.136,0.193,0.526,0.801,0.188,0.098,0.569,0.574,0.094,0.006,0.842,0.042,0.023,0.036,0.182,0.9,0.005,0,0,0,0,0,0,0.006,0.003,0,0,0.006,0,0.053,0,0,0,0.017,0.047,0,0,0.017,0,0,0.038
"1255",0.353,0.66,0.142,0.281,0.579,0.368,0.947,0.009,0.218,0.201,0.543,0.376,0.428,0.213,0.049,0.169,0,0.346,0.052,0.002,0.025,0.002,0.002,0,0,0,0.001,0.006,0,0.009,0,0.003,0,0.021,0,0.011,0,0.034,0.066,0.001,0.012
"1256",0.938,0.641,0.6,0.25,0.558,0.142,0.019,0.44,0.207,0.032,0.003,0.012,0.001,0.05,0.231,0.002,0.023,0.01,0.003,0.007,0.062,0.041,0.003,0.043,0,0,0.024,0,0.011,0,0,0.001,0.002,0.036,0.114,0,0,0,0,0.006,0.003
"1257",0.672,0.759,0.051,0.276,0.105,0.076,0.671,0.343,0.951,0.013,0.191,0.22,0.053,0,0.022,0,0.008,0.113,0.001,0,0.022,0.034,0.029,0.041,0.003,0,0,0,0,0.002,0.039,0,0.005,0,0.024,0.051,0,0,0,0,0.016
"1258",0.379,0.49,0.954,0.492,0.949,0.258,0.446,0.394,0.45,0.187,0.194,0.923,0.212,0.474,0,0.251,0.028,0.071,0.092,0.003,0.013,0.046,0.011,0,0.003,0,0.001,0.001,0.002,0.024,0,0.002,0.002,0,0,0.018,0.015,0,0,0,0.003
"1259",0.914,0.329,0.726,0.907,0.623,0.849,0.643,0.561,0.058,0.519,0,0.004,0.165,0,0.043,0.009,0.324,0.011,0.088,0.007,0.038,0,0.183,0,0.113,0,0.019,0.031,0,0.009,0,0,0.211,0,0.001,0.003,0,0.002,0.005,0,0.008
"1260",0.599,0.907,0.389,0.141,0.77,0.038,0.417,0.646,0.951,0.004,0.636,0.238,0.055,0.296,0,0.02,0.026,0.058,0.003,0.068,0.003,0.006,0,0.011,0,0,0.003,0.001,0,0,0,0.028,0,0,0.006,0,0,0.006,0,0.002,0
"1261",0.475,0.079,0.174,0.42,0.838,0.953,0.57,0.021,0.612,0.069,0.674,0.566,0.011,0.528,0.001,0.049,0,0.95,0,0.143,0.023,0.004,0.037,0.012,0.004,0.001,0,0.044,0,0.001,0.013,0,0.012,0.048,0,0.025,0.01,0.035,0.025,0,0
"1262",0.705,0.027,0.597,0.894,0.845,0.992,0.198,0.002,0.335,0.085,0.195,0.601,0.177,0.004,0.921,0.004,0.02,0.008,0.033,0.029,0.014,0.003,0.004,0.017,0.002,0.001,0.059,0,0.037,0.008,0.001,0,0.014,0,0,0,0.001,0.001,0,0,0
"1263",0.55,0.383,0.745,0.815,0.563,0.811,0.128,0.048,0.002,0.961,0.721,0.046,0.054,0.609,0.188,0.035,0.006,0.021,0.005,0.001,0,0.177,0.001,0.105,0.02,0.005,0.015,0,0.03,0.043,0,0,0.005,0,0.001,0,0.041,0,0.006,0,0
"1264",0.979,0.824,0.9,0.027,0.602,0.614,0.134,0.011,0.486,0.998,0.196,0.85,0.113,0.02,0,0.011,0.047,0.008,0,0.007,0,0.152,0,0,0.128,0,0.003,0.001,0.011,0.061,0.011,0.004,0.014,0,0.007,0.067,0,0,0.001,0,0
"1265",0.404,0.653,0.164,0.639,0.758,0.096,0.096,0.467,0.019,0.193,0.005,0.045,0.344,0.009,0.523,0.001,0.051,0,0.019,0.024,0,0.023,0,0.01,0.001,0.003,0,0.003,0.018,0,0.002,0.001,0,0.001,0.004,0.029,0,0,0.006,0.027,0
"1266",0.851,0.271,0.774,0.259,0.482,0.539,0.814,0.18,0.574,0.16,0.137,0.826,0,0,0.028,0.042,0.046,0.069,0.017,0,0.015,0.004,0.017,0.007,0.026,0.051,0.01,0.011,0.001,0,0,0,0,0,0.012,0,0.002,0,0,0,0.012
"1267",0.098,0.314,0.005,0.417,0.101,0.023,0.101,0.014,0,0.151,0.003,0.836,0.01,0.454,0.093,0.011,0.118,0,0.018,0.003,0.096,0.017,0.01,0,0,0.011,0.034,0.011,0,0.014,0,0.001,0,0.002,0,0,0.012,0,0.002,0,0
"1268",0.44,0.822,0.709,0.584,0.691,0.004,0.265,0.093,0.338,0.804,0.941,0.897,0.115,0,0.09,0.001,0.014,0.077,0,0,0.006,0.087,0.016,0.014,0.003,0.016,0,0.001,0.003,0.009,0.042,0,0.007,0.001,0.003,0.057,0,0.004,0.026,0.001,0.002
"1269",0.604,0.987,0.088,0.59,0.091,0.006,0.764,0.541,0.591,0.782,0.021,0.469,0.015,0.12,0.008,0.027,0.015,0,0.004,0.058,0,0.052,0.046,0.011,0.016,0.017,0,0,0.001,0.004,0,0.004,0.001,0,0.045,0,0.002,0.002,0.008,0,0.032
"1270",0.758,0.871,0.976,0.278,0.041,0.066,0.029,0.021,0.195,0.141,0.707,0.441,0.025,0.022,0.008,0.005,0.09,0.085,0.014,0.013,0.004,0.125,0,0.59,0.013,0.001,0.008,0.009,0,0,0.001,0.009,0.009,0,0.003,0.001,0,0,0.072,0.002,0
"1271",0.949,0.339,0.209,0.389,0.4,0.998,0.72,0.173,0.155,0.32,0.686,0.001,0.02,0.033,0.002,0,0.001,0.034,0.15,0.129,0,0.015,0.002,0.044,0.006,0.002,0,0.005,0,0,0.003,0.002,0,0.001,0.005,0.015,0,0.002,0,0,0
"1272",0.302,0.039,0.45,0.387,0.535,0.078,0.609,0.875,0.672,0.015,0.246,0.124,0.007,0.078,0.008,0.013,0.112,0.008,0.006,0.001,0.015,0.006,0.005,0.014,0.003,0.007,0.015,0.001,0.028,0.002,0.046,0.002,0.002,0,0,0,0.041,0,0.001,0,0.003
"1273",0.51,0.183,0.96,0.602,0.022,0.458,0.841,0.995,0.096,0.093,0.299,0.199,0.198,0.461,0.082,0.033,0.046,0.627,0.014,0,0.002,0,0,0.008,0.102,0.001,0,0.034,0.012,0,0,0.005,0.001,0.001,0,0,0.056,0.022,0.007,0.011,0
"1274",0.019,0.796,0.18,0.285,0.483,0.256,0.872,0.162,0.375,0.094,0.437,0.094,0.046,0.045,0.834,0,0.002,0.006,0,0,0.002,0.01,0.015,0,0.269,0.018,0,0.002,0,0,0.006,0.001,0,0,0,0.002,0.044,0.012,0.001,0.002,0.057
"1275",0.814,0.808,0.054,0.297,0.31,0.74,0.691,0.477,0.522,0.008,0.101,0.01,0.001,0.008,0.007,0.022,0.095,0.352,0.051,0,0.038,0.097,0.001,0,0,0.029,0.174,0.032,0,0,0,0,0,0.06,0.009,0.01,0,0,0.016,0,0.007
"1276",0.021,0.356,0.589,0.293,0.688,0.03,0.944,0.793,0.866,0.681,0.319,0.016,0.004,0.029,0.067,0,0.005,0.001,0.114,0.027,0.006,0,0.001,0.001,0.02,0.017,0,0,0.001,0.002,0.046,0,0,0,0.011,0,0.001,0.007,0.002,0,0.004
"1277",0.684,0.616,0.927,0.776,0.849,0.03,0.001,0.105,0.896,0.007,0.386,0.946,0.032,0.042,0.412,0.45,0.072,0.016,0,0,0.094,0.001,0,0.006,0.001,0.004,0.001,0,0,0,0.047,0,0,0.006,0,0.016,0,0,0,0.008,0.008
"1278",0.247,0.955,0.588,0.825,0.976,0.661,0.856,0.688,0,0.283,0.173,0.296,0.324,0.959,0.099,0.002,0.018,0.01,0.007,0,0.028,0.002,0,0.004,0,0.002,0.015,0,0,0,0,0,0,0.136,0.001,0,0,0.011,0.001,0.003,0.002
"1279",0.688,0.855,0.488,0.087,0.65,0.064,0.43,0.768,0.105,0.955,0.068,0.001,0.347,0.043,0,0.06,0.069,0.037,0.012,0.001,0,0.047,0.002,0.384,0.001,0.002,0.005,0,0,0.05,0,0,0.03,0.001,0.011,0.04,0,0,0.008,0.017,0
"1280",0.121,0.89,0.628,0.166,0.46,0.621,0.807,0.015,0.121,0.548,0.006,0.321,0.145,0.549,0.032,0,0,0.115,0.041,0.06,0,0.047,0.006,0.153,0,0,0.02,0.001,0,0,0,0,0.002,0,0.002,0,0.004,0,0.047,0.001,0
"1281",0.459,0.777,0.308,0.832,0.28,0.714,0.037,0.041,0.792,0.081,0.004,0.074,0.006,0,0.055,0.005,0.004,0.203,0,0,0.001,0.009,0.091,0.013,0.019,0.026,0,0,0.015,0.019,0,0,0.018,0,0.033,0.005,0,0.001,0.01,0,0
"1282",0.273,0.27,0.278,0.604,0.237,0.732,0.53,0.419,0.026,0.502,0.021,0.063,0.001,0.08,0.079,0.003,0.157,0,0,0.02,0,0,0.008,0.023,0.001,0.005,0.003,0,0.032,0.051,0,0.005,0,0,0.013,0,0.011,0,0,0,0.032
"1283",0.479,0.529,0.423,0.241,0.036,0.44,0.865,0.142,0.217,0.272,0.078,0.064,0.058,0,0.087,0,0,0.007,0,0,0.015,0.028,0.005,0.022,0,0.001,0.004,0.003,0,0.005,0.008,0.11,0,0.046,0,0.027,0,0.002,0,0.018,0.003
"1284",0.016,0.09,0.174,0.38,0.544,0.506,0,0.756,0.51,0.042,0.768,0.132,0.305,0.156,0.175,0.033,0.048,0.016,0,0.004,0,0,0.047,0.072,0.002,0,0,0.013,0.006,0,0.005,0.005,0,0,0,0,0.003,0,0.006,0.014,0.001
"1285",0.078,0.475,0.053,0.728,0.299,0.111,0.126,0.152,0.003,0.961,0.059,0.777,0.101,0.001,0.104,0.076,0.01,0.008,0.011,0.002,0.007,0.08,0,0.031,0.026,0,0.006,0,0.001,0,0,0.002,0.008,0,0.017,0.001,0,0.001,0.056,0.008,0
"1286",0.231,0.272,0.514,0.82,0.02,0.611,0.618,0.52,0.118,0.729,0.975,0.266,0.001,0.015,0.027,0.006,0,0.001,0.107,0.071,0.002,0,0.003,0,0,0.003,0,0.008,0.006,0.002,0.001,0.004,0,0.004,0.017,0.002,0.002,0.004,0,0.037,0.001
"1287",0.16,0.455,0.058,0.416,0.994,0.136,0.296,0.623,0.645,0.382,0.243,0.006,0.976,0,0.454,0.083,0.02,0.023,0.005,0,0.115,0,0.023,0,0.032,0,0.003,0.022,0.031,0.005,0.001,0.001,0,0,0.007,0.006,0,0,0,0.002,0.001
"1288",0.86,0.531,0.648,0.257,0.004,0.863,0.757,0.659,0.721,0.646,0.06,0.661,0.08,0.001,0.073,0.002,0.002,0.006,0,0.004,0.032,0.003,0.027,0.079,0.001,0,0,0,0.048,0.055,0.016,0,0.014,0.003,0,0.044,0.003,0,0.001,0.007,0
"1289",0.893,0.935,0.138,0.957,0.012,0.018,0.618,0.024,0.001,0.059,0.378,0.797,0.401,0.014,0.01,0.01,0.011,0,0.035,0.001,0.049,0,0,0.002,0.019,0.01,0,0.009,0.012,0,0.024,0,0,0,0,0,0,0.004,0.007,0,0.004
"1290",0.77,0.02,0.967,0.113,0.854,0.792,0.138,0.011,0.197,0.008,0.115,0.947,0.006,0.138,0.012,0.166,0.312,0.676,0.119,0.004,0.007,0.026,0.003,0.036,0,0,0.011,0.043,0,0.008,0,0,0.029,0,0.007,0.013,0,0.012,0.001,0.001,0
"1291",0.878,0.892,0.433,0.18,0.632,0.423,0.713,0.457,0.864,0.097,0.331,0.062,0.66,0.032,0.621,0,0.03,0.053,0.118,0,0,0.002,0.001,0.005,0.032,0.005,0,0.005,0.015,0,0.049,0.02,0,0,0.005,0,0.001,0.001,0,0,0
"1292",0.484,0.52,0.854,0.945,0.912,0.218,0,0.101,0.281,0.065,0.616,0.475,0.159,0.633,0.045,0.014,0.145,0.056,0.023,0.056,0,0.003,0,0.004,0.001,0.009,0.001,0,0.002,0.539,0,0,0,0.005,0.022,0.129,0,0.002,0,0.009,0.007
"1293",0.606,0.512,0.591,0.238,0.81,0.51,0.89,0.052,0.079,0.318,0.743,0.003,0.001,0.658,0,0.049,0.162,0.002,0.001,0.001,0.134,0.005,0.179,0,0.532,0,0.009,0,0.007,0,0,0,0,0.002,0.002,0,0,0,0.004,0,0
"1294",0.091,0.072,0.848,0.537,0.095,0.241,0.041,0.08,0.539,0.44,0.013,0.07,0.012,0,0.148,0.013,0.059,0.179,0.001,0,0,0,0.001,0.016,0.002,0.022,0.003,0.006,0.003,0.072,0,0.035,0.001,0,0.015,0,0.014,0.003,0.011,0,0
"1295",0.223,0.198,0.011,0.988,0.101,0.58,0.879,0.103,0.274,0.006,0.011,0.897,0.682,0.245,0.022,0.06,0.003,0.093,0.222,0.047,0.033,0,0.019,0,0.054,0.009,0,0,0.002,0.102,0.199,0,0,0.004,0.007,0.001,0.017,0.084,0,0.018,0.039
"1296",0.621,0.109,0.422,0.379,0.756,0.28,0.58,0.129,0.097,0.005,0.303,0.025,0.249,0.696,0.099,0.007,0.928,0.022,0.098,0.008,0.01,0.047,0.017,0.282,0.01,0,0.004,0,0.075,0,0.001,0,0,0.008,0,0.008,0,0.011,0.001,0,0.011
"1297",0.92,0.442,0.304,0.873,0.2,0.701,0.593,0.806,0.892,0.116,0.205,0.863,0.022,0.257,0.083,0,0.203,0.107,0.001,0,0.002,0,0.001,0,0.002,0,0.001,0.001,0,0,0.008,0.044,0,0.01,0.001,0,0,0.001,0.007,0,0.035
"1298",0.64,0.449,0.048,0.201,0.341,0.512,0.427,0.733,0.029,0.002,0.276,0.043,0.002,0.238,0.005,0.081,0,0.011,0.002,0.001,0.006,0,0.042,0,0.001,0.005,0,0,0,0.001,0,0.01,0,0,0,0.001,0.007,0,0,0.001,0.001
"1299",0.411,0.369,0.785,0.741,0.01,0.877,0.99,0.819,0.024,0.031,0.322,0.86,0.322,0.014,0.025,0.011,0.002,0.114,0.196,0.005,0.02,0.044,0.021,0.061,0,0.004,0,0.021,0,0,0.002,0,0,0.011,0.021,0,0,0.465,0,0.021,0
"1300",0.06,0.305,0.177,0.966,0.659,0.066,0.358,0.743,0.733,0.027,0.057,0.001,0.011,0.007,0.009,0.04,0.019,0,0.043,0.037,0.011,0.008,0.002,0,0,0.014,0,0.005,0,0.045,0,0,0,0.003,0.015,0,0,0,0,0.157,0.044
"1301",0.296,0.187,0.534,0.775,0.268,0.002,0.324,0.605,0.031,0.135,0.078,0.501,0.91,0.051,0.001,0.002,0.069,0.233,0,0.253,0.03,0.021,0.044,0.01,0.002,0.006,0.038,0,0,0.006,0.006,0.015,0,0.065,0.001,0,0,0,0,0.038,0.036
"1302",0.831,0.975,0.477,0.041,0.113,0.604,0.163,0.297,0.672,0.918,0.029,0.034,0.008,0.788,0.009,0.101,0.01,0,0,0,0,0.041,0.002,0,0.011,0,0,0,0.007,0.001,0.01,0,0,0.004,0,0.002,0.002,0,0,0,0
"1303",0.086,0.102,0.095,0.149,0.804,0.035,0.765,0.373,0.663,0.126,0.284,0.691,0.02,0.002,0.021,0.037,0.015,0.001,0.001,0.383,0.148,0.048,0.014,0.026,0.003,0.014,0.005,0,0,0.002,0.014,0,0,0,0.002,0.001,0.002,0,0,0,0
